1boy 1 человек
2boy 2 человека
3boy 3 человека
4boy 4 человека
5boy 5 человек
6+boy 6 и более человек
6boy 6 человек
accordion аккордион
action действие
address адрес
adjust регулирование
afro афро
age возраст
aim цель
air воздух
aircraft самолет
airplane самолет
airport аэропорт
album альбом
alcohol алкоголь
alley переулок
angel ангел
animal животное
animification анимация
antler рога
apply применять
apron фартук
arch арка
architecture архитектура
area область
arm рука
armor доспехи
army армия
arrive приезжать
arrow стрелка
art искусство
artist художник
ascot аскот
ass жопа
astronaut астронавт
attire одежда
audience аудитория
auditorium актовый зал
baby ребенок
back назад
backpack рюкзак
badge значок
bag сумка
balcony балкон
ball мяч
ballet балет
balloon шар
bamboo бамбук
band группа
bandage повязка
bandaid лейкопластырь
banner Баннер
bar бар
barn сарай
barrel ствол
baseball бейсбол
basket корзина
basketball баскетбол
bathing купание
battleship линкора
beach пляж
beanie шапочка
bear медведь
beard борода
bed кровать
belt пояс
bench лавка
bend сгибать
beret берет
bicycle велосипед
bike велосипед
bikini бикини
bird птица
blind слепой
blood кровь
blow дуть
blur размытие
blurry размытый
board доска
boat лодка
body тело
book книга
bookcase книжный шкаф
bookshelf книжная полка
boot ботинок
border граница
bottle бутылка
bouquet букет
bow поклон
bowtie галстук-бабочка
box коробка
bracelet браслет
braid косичка
branch ветвь
bread хлеб
break перерыв
breast грудь
brick кирпич
bride невеста
bridge мост
bridle уздечка
brief краткий
briefcase портфель
broom метла
brush щетка
bubble пузырь
bucket ведро
bug насекомое
build строить
building здание
bulldozer бульдозер
bun пучок
bunch связка
bus автобус
bush куст
bust бюст
butterfly бабочка
button кнопка
buy купить
buzz гул
cabin кабина
cable кабель
cage клетка
cake торт
camera камера
canal канал
candle свеча
cane тростник
canoe каноэ
canvas холст
cap кепка
cape мыс
car машина
card карта
cardboard картон
cargo груз
carriage перевозка
carry нести
cart тележка
case случай
castle замок
cat кот
ceiling потолок
cell клетка
cellphone сотовый телефон
cemetery кладбище
ceremony церемония
chain цепь
chainsaw бензопила
chair стул
chalkboard классная доска
chandelier люстра
checker шашки
chess шахматы
chest грудь
child ребенок
chimney камин
chin подбородок
chip чип
choker колье
church церковь
cigarette сигарета
circus цирк
city город
cityscape городской пейзаж
classroom классная комната
clean чистый
climb взбираться
cloak плащ
clock Часы
close закрывать
cloth ткань
clothe одеяло
clothing одежда
cloud облако
coal уголь
coat пальто
coffee кофе
coin монета
collect собирать
column столбец
comb гребень
come приходить
computer компьютер
conditioner кондиционер
cone конус
construction строительство
contact контакт
control контроль
convenience удобство
conveyor конвейер
cord шнур
corner угол
corpse труп
costume костюм
couch диван
counter прилавок
countryside сельская местность
couple пара
course курс
courtyard двор
cover крышка
cow корова
crack трескаться
crane кран
cream крем
creature существо
cross крест
crosswalk переход
crowd толпа
cry плакать
crystal кристалл
cup чашка
curtain занавес
cut резать
cyberpunk киберпанк
cyyatop киятоп
dam плотина
dance танец
dancing танцы
dark темный
date дата
day день
death смерть
debris обломки
deck палуба
decoration украшение
deer олень
demolish снести
depth глубина
design дизайн
desk рабочий стол
dig копать
direct прямой
dirt грязь
display отображать
distance расстояние
do делать
dock док
doctor врач
document документ
dog собака
dome купол
door дверь
doorway дверной проем
dot точка
down вниз
draw рисовать
drawing рисунок
dress одеваться
drink напиток
drinking питьевой
drip капать
drive водить машину
driver Водитель
driveway дорога
driving вождение
drum барабан
dump свалка
dusk сумерки
ear ухо
earphone наушники
earring серьга
easel мольберт
eat есть
edge край
embassy посольство
emblem герб
engine двигатель
entrance вход
equipment оборудование
eye глаз
eyebrow бровь
eyewear очки
facade фасад
face лицо
factory фабрика
fall падать
family семья
farm ферма
fat толстый
faucet кран
feather перо
fence изгородь
ferry перевозить
festival фестиваль
fiction вымысел
field поле
fighter истребитель
film фильм
finger Палец
fire огонь
fish рыба
fishing ловит рыбу
fishnet рыбная сеть
fix исправить
flag флаг
flame пламя
flare вспышка
flea блоха
float плавать
flood наводнение
floor пол
flow поток
flower цветок
flute флейта
fly летать
focus фокус
fog туман
food еда
foot ступня
football футбол
foreground передний план
forest лес
fork вилка
fountain фонтан
frame рамка
frill оборка
fur шерсть
furnace печь
game игра
garage гараж
gas газ
gate ворота
gather собирать
gazebo беседка
gear механизм
gem жемчужина
gender пол
get получать
give давать
glass стекло
glassware изделия из стекла
glove перчатка
go идти
goal цель
goggle погасить
gradient градиент
graphite графит
grass трава
grave могила
graveyard кладбище
greet приветствовать
grin ухмылка
groom жених
ground земля
group группа
guitar гитара
gun пистолет
hair волосы
hairclip зажим для волос
haircut стрижка
hall зал
hallway коридор
halo гало
hand рука
handbag сумочка
handgun пистолет
handwriting почерк
hang вешать
harbor гавань
hat шапка
hatch люк
head голова
headband повязка на голову
headphone наушники
headwear головной убор
heart сердце
heel каблук
helmet шлем
help помощь
herd стадо
hill холм
hillside склон холма
hip бедро
hippo Бегемот
hockey хоккей
hold держать
holding держа
hole дыра
hood капюшон
hoop обруча
horizon горизонт
horn рог
horror ужастик
horse лошадь
hose шланг
hospital больница
house дом
hug обнимать
hula хула
human человек
ice лед
illustration иллюстрация
index индекс
inscription надпись
insert вставлять
instrument инструмент
interior интерьер
iron железо
ironwork железная работа
item элемент
jacket куртка
jet самолет
jewelry Ювелирные изделия
jug кувшин
jump Прыгать
keyboard клавиатура
kicking ног
kiss целовать
kite летающий змей
knee колено
kneel становиться на колени
knife нож
laboratory лаборатория
ladder лестница
lake озеро
lamp лампа
lamppost фонарный столб
landscape пейзаж
lantern фонарь
lap колени
laptop ноутбук
laugh смех
laundry прачечная
lay класть
lead вести
leaf лист
lean наклонять
leather кожа
lecture лекция
leg нога
lens объектив
library библиотека
lie ложь
life жизнь
lift поднимать
light свет
lighthouse маяк
lightning молния
line линия
lip губа
load нагрузка
loafer Лофер
location расположение
log бревно
look смотреть
lot много
luggage багаж
lying врущий
machine машина
machinery машины
make делать
makeup составить
male мужской
man мужчина
mannequin манекен
mansion особняк
map карта
march маршировать
marching марширование
market рынок
marry выйти замуж
mask маска
match соответствовать
mecha Меха
medal медаль
memorial мемориал
message сообщение
metal металл
microphone микрофон
microscope микроскоп
middle середина
military военный
mine мой
mineral минеральная
mirror зеркало
mob моб
model модель
mole крот
money деньги
monitor монитор
monster монстр
monument памятник
moon луна
mosque мечеть
motion движение
motor мотор
motorcycle мотоцикл
mountain гора
mouse мышь
moustache усы
mouth рот
movie фильм
mud грязь
museum музей
music музыка
mustache усы
name имя
nature природа
neck шея
necklace ожерелье
necktie галстук
needle иголка
net сеть
newspaper газета
night ночь
nipple сосок
nose нос
note примечание
notebook блокнот
nurse медсестра
oar весло
object объект
ocean океан
office офис
one один
opening открытие
orchestra оркестр
ornament орнамент
other другой
overlook игнорировать
paddle промежуточный
paint краска
paintbrush кисть
painting рисование
palette палитра
palm ладонь
panel панель
pant штамповать
pantyhose колготки
paper бумага
parade парад
park парк
parody пародия
part часть
path путь
pavement тротуар
peace мир
peak вершина горы
pectoral грузоподъемность
pen ручка
pencil карандаш
penis пенис
people люди
perform выполнять
person человек
pet домашний питомец
phone телефон
photograph фотография
piano пианино
pick выбирать
picture картина
piece кусок
pier пирс
pile куча
pillar столб
pilot пилот
pipe трубка
pitcher кувшин
place место
plaid плед
plane самолет
plant растение
plaque бляшка
plate тарелка
platform Платформа
play играть
player игрок
playing игра
plectrum плектрум
pocket карман
point точка
pointing указывающий
pokemon покемон
poker покер
pole полюс
polearm Полярм
police полиция
polo поло
pompadour Помпадур
pond пруд
porthole иллюминатор
portrait портрет
pose поза
post почта
poster плакат
pot горшок
pour залить
powder пудра
power власть
president президент
priest священник
profile профиль
projectile снаряд
prophet Пророк
puddle лужа
pull тянуть
push толкать
put помещать
rabbit кролик
race раса
rack стойка
racket ракетка
radio радио
rail железнодорожный
railing рельсы
railroad железная дорога
rain дождь
raincoat плащ
raise поднимать
range диапазон
ray луча
reach достигать
read читать
reading чтение
record записывать
recording запись
reflection отражение
reindeer оленя
remove удалять
rest отдых
restaurant ресторан
ribbon лента
ride поездка
riding езда
rifle винтовка
ring кольцо
rink каток
ripple пульс
river река
road дорога
robe халат
robot робот
rock камень
rocket ракета
rod стержень
roll рулон
roller роллер
roof крыша
rooftop крыша
room комната
root корень
rope веревка
row ряд
rubble обломки
ruin руина
run бегать
runway ВПП
sack мешок
sailor моряк
salon салон
sand песок
sandal сандалия
sandwich сэндвич
sash пояс
say сказать
scaffold строительные леса
scar шрам
scarf шарф
school школа
science наука
screen экран
sculpture скульптура
scythe коса
sea море
seat сиденье
secretary секретарь
seesaw качели
sell продавать
set набор
sewing шить
shadow тень
shake встряхнуть
share делиться
shawl шаль
sheet лист
shelf полка
shield щит
shimenawa Shimenawa
ship корабль
shirt рубашка
shoe обувь
shoot стрелять
shop магазин
shopping Покупка
shore берег
short короткий
shot выстрелил
shoulder плечо
show показывать
shrine святыня
side сторона
sidewalk тротуар
sign знак
signature подпись
silhouette силуэт
sill подоконник
sing петь
singe петь
singing пение
sink раковина
sit сидеть
site сайт
sitting сидящий
skate кататься на коньках
skateboard скейтборд
sketch набросок
ski лыжи
skin кожа
skirt юбка
skull череп
sky небо
slab плита
sleep спать
sleeve рукав
slick пятно
smartphone смартфон
smile улыбка
smoke дымка
smokestack дымовая труба
smoking курить
snake змея
sneaker кроссовки
sniper снайпер
snow снег
snowing идет снег
soccer футбол
sock носок
soldier солдат
solo соло
spacecraft космический корабль
spark искра
speak говорить
speaker оратор
spear копье
speech речь
sportswear спортивная одежда
squatting приседание
stack куча
stadium стадион
stage сцена
stair лестница
stalk стебель
stand стоять
standing стоящий
star звезда
state состояние
station станция
statue статуя
steam пар
steeple шпиль
steering рулевое управление
step шаг
stethoscope стетоскоп
stick палка
stone камень
stool табуретка
store магазин
straw солома
street улица
string нить
stripe полоса
stubble стерна
studio студия
style стиль
suit костюм
suitcase чемодан
sun солнце
sunglass солнцезащитные очки
sunlight солнечный луч
surround окружение
suspender подвеска
sweat пот
sweater свитер
swim плавать
swimsuit купальник
swimwear купальники
sword меч
symbol символ
t Т
table стол
tail хвост
take брать
talk разговор
tank бак
tarmac асфальт
tarp брезент
tattoo татуировка
tea чай
teacher учитель
teapot заварочный чайник
tear рвать
teepee висист
telephone телефон
television телевидение
tent палатка
tentacle щупальце
text текст
texture текстура
theater театр
theme тема
thigh бедро
thighhigh бедра
thread нить
thumb большой палец
tie галстук
tiger тигр
tile плитка
tilt наклон
toast тост
tombstone надгробия
tooth зуб
top вершина
torch факел
torii Тори
touch трогать
towel полотенце
tower башня
town город
toy игрушка
track отслеживать
tractor трактор
trailer трейлер
train тренироваться
tram трамвай
trash мусор
tree дерево
trench траншея
trick обманывать
trim подрезать
tripod штатив
trolley тележка
truck грузовик
trumpet труба
trunk ствол
tuba туба
tug буксир
tugboat буксир
turtle черепаха
turtleneck водолазки
typewriter печатная машинка
umbrella зонтик
underwear нижнее белье
uniform униформа
upside вверх
use использовать
utility полезность
valve клапан
van фургон
vanishing исчезающий
vase ваза
vehicle транспортное средство
veil вуаль
vend продавец
vest жилет
vice порок
victim жертва
view вид
viewer зритель
village деревня
violin скрипка
voile вуал
walk ходить
walking гулять пешком
wall стена
war война
warehouse склад
warship военный корабль
watch смотреть
water вода
watercraft воду
watermark водяной знак
waterway водный путь
